Número;Nome;ViaVerde;EMail;Telemovel;NIF;NCC;NISS;DataNascimento
39;Bernardo Rego Barbosa Rego;3410-64;bernardobrbr@sal.ipg.pt;914606489;116324023;43653222;14245617581;1949-08-13
40;Ana Moreno Silva Rosado Ramalho Coelho Barbosa;9894-28;anaamsrrcb@sal.ipg.pt;969250347;148819000;66015836;34420858547;1995-10-26
41;Cristina Azeredo Tinoco Lobato Amorim Caiado;8935-14;cristinacatlac@sal.ipg.pt;962248520;121897232;35919879;50184770284;1976-05-27
42;Carlota Eanes Mendes Soeiro Martins Azevedo Baptista;13471-535;carlotacemsmab@sapo.pt;942734698;309429929;57172855;71895080358;1966-12-31
43;Silvia Calheiros Carreira Domingos Macedo Santos Castro;18081-206;silviasccdmsc@gmail.com;946432820;115711397;92666095;46595694118;1969-10-13
44;Rita Pinto Cabral Almada;9283-940;ritarpca@hotmail.com;927707240;301317844;77088581;78987944842;1976-09-17
45;Carmo Barbosa Rosado Matos Lobato;14020-935;carmocbrml@sal.ipg.pt;921517758;347536972;98840054;73558057297;1957-05-25
46;Cristiana Paredes Carneiro Santos;5385-678;cristianacpcs@sapo.pt;959033534;355606706;46832363;88557665488;1943-01-26
47;Daniel Dinis Mendes Cabral;19410-568;danielddmc@sapo.pt;966223136;368858804;45221360;24546418072;1940-06-30
48;Odete Sequeira Nascimento Calado Rego;11059-487;odeteosncr@hotmail.com;931731957;143307692;87931878;82296127926;1944-12-21
49;Cristina Soeiro Moreira Calado;3222-324;cristinacsmc@hotmail.com;958449945;448450194;78738865;13406809899;1952-11-13
50;Duarte Bogas Caneco Belchior Leal Cabral;12820-491;duartedbcblc@sal.ipg.pt;967464808;432555046;41869699;18211627046;1984-12-02
51;Alzinda Carrico Pinheiro Carrasco Moreira Peres;2968-979;alzindaacpcmp@sapo.pt;961499401;238196155;51529725;13212878300;1994-07-21
52;Leonor Proenca Pacheco Barbosa Coelho Moreira Ferro;18033-545;leonorlppbcmf@gmail.com;927463371;269825667;92417794;13288114250;1991-04-04
53;Catarina Valbom Dias Rocha Almeida Coelho;15402-583;catarinacvdrac@sapo.pt;962098426;282496263;50821969;18030312243;1987-01-25
54;Bruno Rego Brito Amora Carrico Andrade Amorim;16565-254;brunobrbacaa@sapo.pt;926909992;373817203;22942424;58799275394;1953-04-24
55;Bernardo Azenha Soeiro Andrade Seixas;19529-326;bernardobasas@sapo.pt;965938298;289227516;39128050;61294495455;1960-05-01
56;Carmo Nunes Lopes Mendes Almeida Barros;2282-522;carmocnlmab@sal.ipg.pt;950752965;149855313;55755075;31365001042;1951-04-01
57;Paulo Rosado Barbosa Rocha Pacheco Matos;7015-635;pauloprbrpm@hotmail.com;951143260;156098006;28812266;99371140823;1952-09-18
58;Cristina Andrade Leal Carmona Andrade Lobato Mateus;12186-245;cristinacalcalm@gmail.com;963122441;348008417;69057084;90069703029;1991-03-27
59;Cristiano Leão Barros Dinis Brito;6835-31;cristianoclbdb@sapo.pt;965125147;407036169;90122431;21490948280;1979-11-16
60;Dora Tinoco Dinis Pinheiro;13902-300;doradtdp@sal.ipg.pt;933811062;303775635;37956338;40813074404;1969-05-15
61;Clotilde Tinoco Tinoco Soeiro Carmona Macedo Mourão;5243-132;clotildecttscmm@sapo.pt;950031262;141728493;85440947;70959544636;1966-12-06
62;Carina Mourão Soeiro Moreno Peres;13308-298;carinacmsmp@gmail.com;958965254;340366074;73517416;77311095943;1990-08-14
63;Rita Coelho Ferraz Amorim Mourão Estrela;18067-978;ritarcfame@gmail.com;916474660;234443828;50157271;28317184840;1987-10-07
64;Alzinda Farias Carrico Queiros Brito Ramalho;19437-559;alzindaafcqbr@sal.ipg.pt;931236839;385033794;49117377;52189885647;1941-01-05
65;Liliana Dias Moura Moreira;19426-904;lilianaldmm@hotmail.com;953318748;147839827;36384279;31121141801;1946-01-02
66;Eduardo Amorim Carvalheira Antunes;18033-130;eduardoeaca@sapo.pt;953250995;214023484;63297106;32665625537;1956-08-14
67;Dina Azevedo Domingos Moreno;15106-794;dinadadm@gmail.com;914840107;224245526;79949686;36392900046;1999-03-01
68;Dulce Regueira Azeredo Eanes Sequeira Andrade Dinis;11067-270;dulcedraesad@sapo.pt;958124419;143318192;86586357;83506747545;1953-11-29
69;Duarte Rosado Castanheira Proenca Belchior Barros;16236-190;duartedrcpbb@gmail.com;914737209;287193302;28188872;20461725025;1978-04-06
70;Daniel Farias Silva Brito Amorim;10483-316;danieldfsba@sal.ipg.pt;939405900;259684788;54077366;50904427341;1991-12-11
71;Eduardo Tinoco Carvalheira Carrico Caneco Mendes;18243-696;eduardoetcccm@sapo.pt;930097933;250419505;49658885;22513684692;1954-06-02
72;Alzinda Cabral Silva Domingos Amorim Lobato;19459-73;alzindaacsdal@gmail.com;968663943;164096090;55378831;45469667172;1996-01-13
73;Daniel Azeredo Rosado Santos Aguiar;14947-17;danieldarsa@sal.ipg.pt;917834053;155408759;87408741;94624132883;1949-05-12
74;Celso Arouca Barbosa Caiado Calado;1044-456;celsocabcc@gmail.com;958381587;408973513;94392199;30107642226;1982-11-07
75;Hugo Caneco Proenca Caiado Bacelar Soeiro;9955-191;hugohcpcbs@hotmail.com;943199162;278072842;70028628;11659882464;1983-12-17
76;Clarice Soeiro Moreira Ramalho Carrico;19902-216;claricecsmrc@gmail.com;957842703;154293015;57316569;13045525527;1977-10-22
77;Cristiano Ferraz Pires Caiado Bacelar Bacelar Clementino;10929-602;cristianocfpcbbc@hotmail.com;958502219;100652822;91093530;41790725430;1971-03-18
78;Paula Andrade Rego Azeredo Rosado Martins;19195-290;paulapararm@hotmail.com;939872150;334233400;23821240;59900910619;1969-06-20
79;Francisco Amorim Carrico Antunes Silva Domingos Antunes;4524-374;franciscofacasda@sal.ipg.pt;961223441;203560706;35587931;89119820119;1955-03-12
80;Dina Andrade Amorim Cunha Rosado Castanheira;2923-156;dinadaacrc@sapo.pt;914916283;421744935;79250062;27314954287;1984-02-15
81;Marisa Caneco Estrela Calheiros Dias;17599-419;marisamcecd@sapo.pt;948132088;211858364;41928245;62750629505;1975-05-01
82;Maria Andrade Carreira Ferro Arantes Mora Amorim;2844-988;mariamacfama@sal.ipg.pt;939903225;314854855;59827089;84483156702;1961-09-29
83;Dina Ramalho Castanheira Andrade Matos Ferro;2957-165;dinadrcamf@sapo.pt;922417605;418962251;96177556;73234519982;1949-03-28
84;Soraia Antunes Carmona Calado Proenca Amora;7834-816;soraiasaccpa@sapo.pt;961016503;176742938;96128831;84324277347;1956-11-27
85;Paulo Mendes Azenha Martins Lopes;7302-724;paulopmaml@gmail.com;927297798;333270772;27236707;47625545597;1978-02-03
86;Soraia Castro Sequeira Cipriano;11235-512;soraiascsc@gmail.com;963106929;287707515;46827113;64634277181;1995-04-03
87;Camilo Carreira Carvalheira Nunes Carvalheira Castanheira Dias;16309-354;camilocccnccd@hotmail.com;940625998;210611901;79115488;91671542683;1975-04-14
88;Celina Carrasco Brito Cunha Rego Castro Brito;16993-865;celinaccbcrcb@gmail.com;937334890;316278387;50997613;40050737606;1990-08-07
89;Dulce Carvalheira Moura Leão;2965-733;dulcedcml@sapo.pt;924842781;120940718;26208990;14126467799;1980-01-18
90;Dulcineia Antunes Moura Farias;15976-779;dulcineiadamf@sapo.pt;938094510;370870862;38969200;21660466514;1984-03-03
91;Camilo Tinoco Lopes Rocha Arouca Barros;14931-926;camiloctlrab@sapo.pt;950492830;437595716;81329438;82139446092;1985-08-13
92;Soraia Rosado Peres Proenca Arouca Sequeira Santos;2486-899;soraiasrppass@gmail.com;915131848;481673781;86891248;35343663002;1961-07-01
93;Clarice Arantes Quadros Valbom Soeiro Proenca Queiros;5105-565;claricecaqvspq@gmail.com;912948176;325519204;96414036;40632216863;1981-10-04
94;Cristina Aguiar Proenca Rosado Dinis Ferreira;3868-746;cristinacaprdf@sapo.pt;913512610;322546902;26828280;46351395837;1984-10-22
95;Eduarda Caneco Pacheco Cardoso Santos Ferraz Seixas;19216-188;eduardaecpcsfs@hotmail.com;921019451;183322572;23549863;89195669235;1945-12-26
96;Maria Nascimento Fonseca Real Carneiro Rocha Leal;18080-562;mariamnfrcrl@sal.ipg.pt;922444746;473302864;85119105;41022204947;1999-10-06
97;Bernardo Estrela Farias Coelho Mateus;5254-933;bernardobefcm@sapo.pt;911241944;424135537;54600159;71544659516;1950-06-13
98;Duarte Rego Castanheira Andrade Carrasco Clementino Bacelar;3131-46;duartedrcaccb@gmail.com;959470221;419523616;30059246;81508037506;1956-02-09
99;Lucas Rego Arouca Silva Nascimento Real;2458-694;lucaslrasnr@hotmail.com;948905347;130378342;24919171;94367786826;1958-06-06
100;Paulo Azeredo Queiros Mendes Silva Moura Domingos;9530-890;paulopaqmsmd@sapo.pt;956562862;276325699;40387136;98947483388;1993-11-07
101;Celino Queiros Tinoco Ramalho Eanes;1579-864;celinocqtre@hotmail.com;920497135;229087923;99004189;80175825434;1978-07-20
102;Catarina Amora Ramalho Valbom Arantes Carrico;13880-102;catarinacarvac@hotmail.com;937927444;431918339;76758081;51104538055;1980-06-27
103;David Amorim Amorim Azevedo;2705-571;daviddaaa@gmail.com;918280798;337527541;82630693;36102071231;1963-09-12
104;Maria Carreira Brito Coelho Rego Cabral;6015-60;mariamcbcrc@gmail.com;959413164;349103142;50445849;47888787062;1994-05-03
105;Odete Estrela Nunes Real Rocha Mota Martins;17271-469;odeteoenrrmm@gmail.com;955548718;411478372;38382415;55887973673;1961-08-19
106;Hugo Nogueira Dias Bogas Rosado;12869-697;hugohndbr@sapo.pt;912317304;471556450;74886329;25172798729;1952-06-01
107;Bóris Regueira Barros Bogas Eanes Nogueira;13514-63;bórisbrbben@gmail.com;933139721;337344983;25035039;23539228947;1949-10-27
108;Dolores Paredes Almeida Proenca Rego Brito Antunes;15285-612;doloresdpaprba@sal.ipg.pt;916808967;432378872;44851582;91638270403;1983-08-08
109;Rodolfo Calheiros Moreira Bacelar Pires;19010-59;rodolforcmbp@sapo.pt;949720196;483651361;21329276;81846797595;1941-08-15
110;Celso Ramalho Azevedo Cabral;9559-228;celsocrac@sal.ipg.pt;948224213;495706837;67522562;93081043464;1958-10-15
111;Francisco Eanes Valbom Brito Silva Leal Pinheiro;19902-366;franciscofevbslp@sal.ipg.pt;921544307;163683846;98255385;20376932705;1974-10-28
112;Camilo Regueira Andrade Ferraz Almeida;19406-508;camilocrafa@sal.ipg.pt;957219982;366256887;59512912;69829095381;1957-09-18
113;Valdemar Pinheiro Castanheira Coelho;7747-464;valdemarvpcc@sapo.pt;924087450;155528725;98822653;64966219695;1967-02-03
114;Marisa Coelho Ferreira Cipriano Silva;9135-628;marisamcfcs@gmail.com;916326685;264176735;81792687;41079087187;1982-05-19
115;Francisco Ramalho Rosado Sequeira Carrasco;8026-201;franciscofrrsc@gmail.com;956956683;125412281;78472489;21948129902;1982-06-22
116;Francisca Moura Amorim Mendes;1037-825;franciscafmam@sal.ipg.pt;925212270;444287997;37628345;95313789593;1968-12-26
117;Dina Arouca Rego Dias;5655-319;dinadard@gmail.com;931327921;352894341;24016603;35385390211;1987-04-15
118;Celso Dias Brito Queiros Valbom Pires;6347-878;celsocdbqvp@sal.ipg.pt;913663494;256682306;78915266;30120870148;1977-11-13
119;Dora Soeiro Estrela Azeredo;17454-984;doradsea@gmail.com;935931310;182458868;43581960;61593320916;1974-06-01
120;Bruno Vivas Cabral Dias Ferreira Real;1320-536;brunobvcdfr@hotmail.com;931195356;488196619;90368497;38954845333;1942-01-24
121;Carina Pacheco Leal Caiado Ramalho;14870-205;carinacplcr@gmail.com;932208926;190670589;28725703;42246194110;1965-03-31
122;Francisca Castro Quadros Carrico;19851-844;franciscafcqc@sal.ipg.pt;964365025;418818812;74825332;83457902972;1996-08-09
123;Basilio Rego Tinoco Eanes Carrico Cabral Santos;17018-744;basiliobrteccs@sal.ipg.pt;911886948;107700522;46799579;23669278860;1989-05-12
124;Valdemar Real Dias Nunes Azevedo Proenca;10278-7;valdemarvrdnap@hotmail.com;920393477;156073960;77165943;66420541818;1979-09-11
125;Celina Tinoco Brito Queiros Clementino Coelho Carmona;6725-635;celinactbqccc@sal.ipg.pt;932220231;400717157;55537284;51598258332;1998-04-09
126;Ana Pires Dinis Andrade Fonseca;1937-639;anaapdaf@hotmail.com;969119913;333235156;37682706;25063159462;1945-12-25
127;Lucas Caiado Mourão Almada Seixas Carrico Mota;7620-835;lucaslcmascm@hotmail.com;918969887;279156902;50534362;61183090607;1975-10-11
128;Pedro Brito Bacelar Moreira Almada;5408-669;pedropbbma@hotmail.com;923842343;417994604;90317090;25378790440;1947-02-02
129;Camilo Ferro Dinis Mora Leão Clementino Brito;5342-954;camilocfdmlcb@sal.ipg.pt;938754523;350775044;77831095;64327272367;1946-10-09
130;Bruna Nunes Caiado Caneco Amorim;8360-328;brunabncca@sal.ipg.pt;949196029;322003974;89397053;46249393341;1966-07-30
131;Celso Amora Silva Farias Santos Mendes;9370-355;celsocasfsm@sapo.pt;943296058;393204337;30360055;30585750228;1945-12-04
132;Rita Dinis Tinoco Carneiro Rego Leão;16607-933;ritardtcrl@sal.ipg.pt;955140557;483704120;22977551;56759572684;1971-11-29
133;Clotilde Bacelar Mora Baptista Tinoco;12996-585;clotildecbmbt@sapo.pt;950013522;322743591;90564197;24683581949;1998-09-02
134;Pedro Pinto Ferraz Domingos;11917-556;pedroppfd@hotmail.com;959458704;313725807;88856129;93173593955;1958-07-06
135;Hugo Leal Amora Pinto Paredes Matos Rocha;14841-152;hugohlappmr@gmail.com;955949974;439594511;74383796;77308551658;1986-08-27
136;Daniel Silva Ferro Carmona Ferreira Dinis;12977-516;danieldsfcfd@hotmail.com;938164356;404072501;30929907;49186653276;1980-04-08
137;Bernardo Mateus Moura Silva;5993-121;bernardobmms@sapo.pt;911594139;296823255;46812518;53316736833;1984-08-30
138;Dina Amora Cunha Baptista;14276-191;dinadacb@sal.ipg.pt;923291045;301133343;59795666;57177086931;1963-07-18
139;Celso Rosado Carvalheira Martins;15867-704;celsocrcm@hotmail.com;914052763;269283424;32844619;31563229844;1960-10-26
140;Maria Andrade Paredes Pires Bacelar Soeiro Quadros;2099-100;mariamappbsq@sal.ipg.pt;930781215;415103755;70294668;75675814703;1947-12-29
141;Lucas Amado Proenca Ferro Pinheiro Carneiro;4991-329;lucaslapfpc@hotmail.com;949604287;303948697;83607016;60186010151;1977-04-05
142;Duarte Cabral Fonseca Martins Bogas;3614-811;duartedcfmb@gmail.com;912429495;239474527;45022490;45382743303;1946-04-09
143;Cristiana Coelho Carvalheira Arantes;8771-718;cristianaccca@gmail.com;912202491;157426059;76861132;33620835249;1958-04-03
144;Pedro Baptista Quadros Moura Rocha Soeiro Matos;12389-809;pedropbqmrsm@sapo.pt;962081963;498200224;46357048;25430549977;1988-08-05
145;Celina Silva Domingos Andrade Ferro Rocha Pires;13917-955;celinacsdafrp@sapo.pt;946357802;142974385;37330485;90249288157;1994-11-07
146;Dina Sequeira Caiado Caneco;8512-186;dinadscc@sapo.pt;966898061;129072841;81135307;53789646367;1945-09-09
147;Rodolfo Amorim Calheiros Cabral Pinto Azeredo Leal;12071-75;rodolforaccpal@sal.ipg.pt;928239010;209801081;36334744;22303243079;1982-01-08
148;Rita Paredes Cipriano Belchior Silva Barros Ferro;8032-145;ritarpcbsbf@gmail.com;968748635;258172712;80608832;59095689026;1984-08-05
149;Bruno Macedo Cunha Mota;1965-244;brunobmcm@hotmail.com;951531974;239441595;84104915;63819172788;1953-09-26
150;Basilio Fonseca Pires Rocha Carvalheira Arantes Antunes;1890-374;basiliobfprcaa@sal.ipg.pt;953521367;396641921;25645278;75906476669;1958-09-23
151;Carlota Amorim Mateus Ferraz Cardoso;2964-977;carlotacamfc@sapo.pt;966028539;388707793;60525095;68440165373;1995-02-20
152;Soraia Brito Pacheco Mora Leal Arantes;4172-74;soraiasbpmla@hotmail.com;937123474;404799771;27985038;78819103308;1976-07-06
153;Marisa Baptista Martins Matos Vivas;9538-174;marisambmmv@gmail.com;961602929;479966996;65786597;21024121206;1995-06-14
154;Odete Baptista Moreno Coelho Nunes Moura Mendes;5567-764;odeteobmcnmm@sapo.pt;916521873;395895165;28362348;20613038052;1989-08-29
155;David Nunes Proenca Estrela Martins Mourão;1618-452;daviddnpemm@sapo.pt;912449586;168771891;83215039;12023493515;1941-01-27
156;Paula Ramalho Eanes Vivas Cipriano Peres Seixas;19209-101;paulaprevcps@gmail.com;923372370;120167350;89138206;50317408851;1966-10-01
157;Lucas Baptista Azevedo Lopes Carrico Castanheira;10687-440;lucaslbalcc@gmail.com;960342564;411610421;81156255;25917585079;1966-08-04
158;Carla Mota Amora Castanheira;5845-567;carlacmac@sapo.pt;926738902;119382782;22889442;47569621011;1996-11-04
159;Ricardo Cardoso Arouca Soeiro;14973-800;ricardorcas@sapo.pt;946110427;198868088;40409712;24798704514;1942-09-30
160;Soraia Soeiro Queiros Cunha Rocha;15700-194;soraiassqcr@sal.ipg.pt;947715467;382645646;24884115;45664481741;1954-09-10
161;Cristiana Baptista Pacheco Belchior;16314-445;cristianacbpb@sal.ipg.pt;932602082;440503322;72726399;42716957354;1958-10-10
162;Luis Nunes Bacelar Farias Carrasco Santos;13210-527;luislnbfcs@sal.ipg.pt;948819475;220888379;65083283;21105931797;1974-04-12
163;Paula Cabral Carrasco Cunha Soeiro Dinis;3786-176;paulapcccsd@hotmail.com;969376421;121025563;39038316;87994973976;1958-03-10
164;Daniel Belchior Calado Eanes Baptista Pinheiro;19522-300;danieldbcebp@sapo.pt;942624982;461689550;55476508;19907023568;1945-02-19
165;Celino Macedo Sequeira Rego Rego;19481-354;celinocmsrr@gmail.com;956694259;243327308;84791811;75970848516;1997-11-24
166;Cristina Pinheiro Barros Sequeira Cunha Castro;13948-85;cristinacpbscc@sal.ipg.pt;927927308;353937383;24676972;91778561964;1951-05-30
167;Ricardo Antunes Brito Soeiro Mora;13347-753;ricardorabsm@sal.ipg.pt;945926767;255861395;44616578;63907426890;1962-10-08
168;Celso Proenca Pires Azevedo;10944-191;celsocppa@sal.ipg.pt;939204279;348842246;92794354;34339954390;1959-08-03
169;Leonor Rosado Aguiar Paredes;2264-487;leonorlrap@gmail.com;922431091;351023568;53515536;84100774329;1978-03-26
170;Carla Ramalho Rego Rego;2852-21;carlacrrr@hotmail.com;967548999;440443580;40876513;54268836610;1952-09-15
171;Francisca Pinto Moreno Nunes Nogueira;7386-86;franciscafpmnn@sal.ipg.pt;964806939;154985952;96591332;92262630507;1985-10-25
172;Bóris Barbosa Real Ramalho Santos Mora Soeiro;1506-608;bórisbbrrsms@sapo.pt;933833927;375253712;97077251;12687481482;1958-09-15
173;Carina Brito Dinis Cardoso;15289-959;carinacbdc@gmail.com;950123414;378255310;77481244;51940384636;1975-01-17
174;Paulo Andrade Azenha Moura;12828-198;paulopaam@hotmail.com;927972162;376495037;26117061;19677711498;1992-07-02
175;Dulce Rocha Domingos Almada;3886-606;dulcedrda@sapo.pt;958812897;221579636;64811866;36217870834;1949-12-04
176;Eduarda Amora Dias Estrela Arantes Moreira Proenca;7704-351;eduardaeadeamp@gmail.com;918784439;431297898;85136289;35563672033;1951-04-17
177;Bernardo Carvalheira Almeida Dinis;3826-918;bernardobcad@sapo.pt;921698328;330156461;98790644;40463013268;1987-01-03
178;Celino Ferro Almada Antunes Carneiro Lobato;19105-123;celinocfaacl@gmail.com;914189881;320563893;50719976;74201469673;1961-09-10
179;Eduardo Pinheiro Mourão Almeida Carvalheira Macedo Valbom;14668-147;eduardoepmacmv@sapo.pt;929844124;456227214;92053279;38156341323;1984-01-11
180;Dulcineia Rosado Clementino Caneco Soeiro;13791-186;dulcineiadrccs@gmail.com;965998377;321432975;57807439;26203622531;1999-08-26
181;Celino Quadros Azenha Carneiro Baptista Seixas Pinto;14344-64;celinocqacbsp@sal.ipg.pt;955656655;272643461;81714910;43126957634;1968-06-06
182;Bernardo Azeredo Antunes Arouca Arouca Rego Dias;9558-99;bernardobaaaard@hotmail.com;933339125;473590816;51853314;48280292019;1957-06-22
183;Carmo Carrico Cunha Carrasco;17768-393;carmocccc@sal.ipg.pt;936816329;194867131;67194514;56359314852;1981-12-12
184;Dulcineia Peres Andrade Azevedo Cipriano Pires Brito;9845-457;dulcineiadpaacpb@gmail.com;969713470;348677631;73894200;61813477845;1975-02-12
185;Bernardo Valbom Lobato Antunes Ferreira;15109-326;bernardobvlaf@gmail.com;950978729;362722313;27262176;28254061837;1986-12-29
186;Paulo Azeredo Santos Rosado;18433-938;paulopasr@sapo.pt;969795429;152128676;52583313;19097361079;1948-02-22
187;Joana Pinto Proenca Paredes Mota;12832-233;joanajpppm@sapo.pt;916922454;346033065;78522290;47812868503;1950-11-22
188;Carina Andrade Arouca Cabral Calheiros Aguiar Amado;16527-761;carinacaaccaa@gmail.com;968516875;398741604;50234597;77015324568;1996-04-17
189;Hugo Vivas Ramalho Leão Soeiro Carreira Amorim;18295-219;hugohvrlsca@gmail.com;947790640;265512335;66115350;28099421901;1994-06-30
190;Carla Cunha Regueira Clementino;14250-598;carlaccrc@sal.ipg.pt;923144680;416304538;38190041;86477785765;1976-01-04
191;Vitor Carrico Tinoco Queiros;5232-894;vitorvctq@hotmail.com;919746371;194848678;98791188;36436047878;1962-09-20
192;Carla Clementino Almeida Castanheira Ferreira Barros Coelho;9596-652;carlaccacfbc@sapo.pt;924527254;268705952;56281073;94646465945;1949-11-22
193;Alzinda Mourão Cabral Andrade Carneiro Ferraz;3469-100;alzindaamcacf@sal.ipg.pt;917712074;294473899;29151872;42608969028;1942-07-26
194;Ana Rego Santos Belchior Pinheiro;12360-327;anaarsbp@gmail.com;933977906;213024532;25058937;87709394087;1998-02-12
195;Pedro Carneiro Pires Real;6261-903;pedropcpr@gmail.com;930223997;127241735;36951229;33668584893;1943-12-16
196;Francisco Regueira Domingos Silva Mourão Valbom Almeida;14331-286;franciscofrdsmva@sapo.pt;920778668;279661211;30113256;88198308512;1948-02-16
197;Eduarda Vivas Rego Moreira Mourão;9002-19;eduardaevrmm@sapo.pt;933838909;408433453;50331067;87779253352;1970-07-14
198;Paulo Amorim Bogas Belchior Moura;16810-818;paulopabbm@sapo.pt;921968940;392649850;27723221;59647607157;1959-10-12
199;Dulcineia Leão Leal Soeiro Belchior Mendes Rosado;8210-236;dulcineiadllsbmr@sapo.pt;911184998;411119968;27744961;25930125141;1998-05-25
