IDUTENTE;NOME;NUMERODISPOSITIVOELETRONICO
1093319;DULCE REGUEIRA AZEREDO EANES SEQUEIRA ANDRADE DINIS;11067-270
1095548;DUARTE ROSADO CASTANHEIRA PROENCA BELCHIOR BARROS;16236-190
1102405;DANIEL FARIAS SILVA BRITO AMORIM;10483-316
1105439;EDUARDO TINOCO CARVALHEIRA CARRICO CANECO MENDES;18243-696
1105934;ALZINDA CABRAL SILVA DOMINGOS AMORIM LOBATO;19459-73
1106043;DANIEL AZEREDO ROSADO SANTOS AGUIAR;14947-17
1111889;CELSO AROUCA BARBOSA CAIADO CALADO;1044-456
1114668;HUGO CANECO PROENCA CAIADO BACELAR SOEIRO;9955-191
1115410;CLARICE SOEIRO MOREIRA RAMALHO CARRICO;19902-216
1117484;CRISTIANO FERRAZ PIRES CAIADO BACELAR BACELAR CLEMENTINO;10929-602
1117803;PAULA ANDRADE REGO AZEREDO ROSADO MARTINS;19195-290
1121526;FRANCISCO AMORIM CARRICO ANTUNES SILVA DOMINGOS ANTUNES;4524-374
1123163;DINA ANDRADE AMORIM CUNHA ROSADO CASTANHEIRA;2923-156
1123924;MARISA CANECO ESTRELA CALHEIROS DIAS;17599-419
1124507;MARIA ANDRADE CARREIRA FERRO ARANTES MORA AMORIM;2844-988
1128123;DINA RAMALHO CASTANHEIRA ANDRADE MATOS FERRO;2957-165
1128430;SORAIA ANTUNES CARMONA CALADO PROENCA AMORA;7834-816
1128501;PAULO MENDES AZENHA MARTINS LOPES;7302-724
1128704;SORAIA CASTRO SEQUEIRA CIPRIANO;11235-512
1132920;CAMILO CARREIRA CARVALHEIRA NUNES CARVALHEIRA CASTANHEIRA DIAS;16309-354
1135093;CELINA CARRASCO BRITO CUNHA REGO CASTRO BRITO;16993-865
1139056;DULCE CARVALHEIRA MOURA LEÃO;2965-733
1141363;DULCINEIA ANTUNES MOURA FARIAS;15976-779
1141592;CAMILO TINOCO LOPES ROCHA AROUCA BARROS;14931-926
1141813;SORAIA ROSADO PERES PROENCA AROUCA SEQUEIRA SANTOS;2486-899
1141908;CLARICE ARANTES QUADROS VALBOM SOEIRO PROENCA QUEIROS;5105-565
1142227;CRISTINA AGUIAR PROENCA ROSADO DINIS FERREIRA;3868-746
1147586;EDUARDA CANECO PACHECO CARDOSO SANTOS FERRAZ SEIXAS;19216-188
1147987;MARIA NASCIMENTO FONSECA REAL CARNEIRO ROCHA LEAL;18080-562
1150127;BERNARDO ESTRELA FARIAS COELHO MATEUS;5254-933
1151379;DUARTE REGO CASTANHEIRA ANDRADE CARRASCO CLEMENTINO BACELAR;3131-46
1152863;LUCAS REGO AROUCA SILVA NASCIMENTO REAL;2458-694
1154009;PAULO AZEREDO QUEIROS MENDES SILVA MOURA DOMINGOS;9530-890
1158802;CELINO QUEIROS TINOCO RAMALHO EANES;1579-864
1161937;CATARINA AMORA RAMALHO VALBOM ARANTES CARRICO;13880-102
1162833;DAVID AMORIM AMORIM AZEVEDO;2705-571
1166107;MARIA CARREIRA BRITO COELHO REGO CABRAL;6015-60
1170546;ODETE ESTRELA NUNES REAL ROCHA MOTA MARTINS;17271-469
1173120;HUGO NOGUEIRA DIAS BOGAS ROSADO;12869-697
1173687;BÓRIS REGUEIRA BARROS BOGAS EANES NOGUEIRA;13514-63
1173823;DOLORES PAREDES ALMEIDA PROENCA REGO BRITO ANTUNES;15285-612
1174166;RODOLFO CALHEIROS MOREIRA BACELAR PIRES;19010-59
1176987;CELSO RAMALHO AZEVEDO CABRAL;9559-228
1178596;FRANCISCO EANES VALBOM BRITO SILVA LEAL PINHEIRO;19902-366
1178754;CAMILO REGUEIRA ANDRADE FERRAZ ALMEIDA;19406-508
1179048;VALDEMAR PINHEIRO CASTANHEIRA COELHO;7747-464
1181056;MARISA COELHO FERREIRA CIPRIANO SILVA;9135-628
1182458;FRANCISCO RAMALHO ROSADO SEQUEIRA CARRASCO;8026-201
1182636;FRANCISCA MOURA AMORIM MENDES;1037-825
1183062;DINA AROUCA REGO DIAS;5655-319
1184441;CELSO DIAS BRITO QUEIROS VALBOM PIRES;6347-878
1187850;DORA SOEIRO ESTRELA AZEREDO;17454-984
1187890;BRUNO VIVAS CABRAL DIAS FERREIRA REAL;1320-536
1190092;CARINA PACHECO LEAL CAIADO RAMALHO;14870-205
1192307;FRANCISCA CASTRO QUADROS CARRICO;19851-844
1193376;BASILIO REGO TINOCO EANES CARRICO CABRAL SANTOS;17018-744
1197425;VALDEMAR REAL DIAS NUNES AZEVEDO PROENCA;10278-7
1198287;CELINA TINOCO BRITO QUEIROS CLEMENTINO COELHO CARMONA;6725-635
1199039;ANA PIRES DINIS ANDRADE FONSECA;1937-639
1199424;LUCAS CAIADO MOURÃO ALMADA SEIXAS CARRICO MOTA;7620-835
1200351;PEDRO BRITO BACELAR MOREIRA ALMADA;5408-669
1200407;CAMILO FERRO DINIS MORA LEÃO CLEMENTINO BRITO;5342-954
1200985;BRUNA NUNES CAIADO CANECO AMORIM;8360-328
1201819;CELSO AMORA SILVA FARIAS SANTOS MENDES;9370-355
1205322;RITA DINIS TINOCO CARNEIRO REGO LEÃO;16607-933
1205961;CLOTILDE BACELAR MORA BAPTISTA TINOCO;12996-585
1206707;PEDRO PINTO FERRAZ DOMINGOS;11917-556
1206727;HUGO LEAL AMORA PINTO PAREDES MATOS ROCHA;14841-152
1206878;DANIEL SILVA FERRO CARMONA FERREIRA DINIS;12977-516
1206958;BERNARDO MATEUS MOURA SILVA;5993-121
1207010;DINA AMORA CUNHA BAPTISTA;14276-191
1207442;CELSO ROSADO CARVALHEIRA MARTINS;15867-704
1207636;MARIA ANDRADE PAREDES PIRES BACELAR SOEIRO QUADROS;2099-100
1208936;LUCAS AMADO PROENCA FERRO PINHEIRO CARNEIRO;4991-329
1209093;DUARTE CABRAL FONSECA MARTINS BOGAS;3614-811
1216940;CRISTIANA COELHO CARVALHEIRA ARANTES;8771-718
1219951;PEDRO BAPTISTA QUADROS MOURA ROCHA SOEIRO MATOS;12389-809
1223023;CELINA SILVA DOMINGOS ANDRADE FERRO ROCHA PIRES;13917-955
1226330;DINA SEQUEIRA CAIADO CANECO;8512-186
1227142;RODOLFO AMORIM CALHEIROS CABRAL PINTO AZEREDO LEAL;12071-75
1228028;RITA PAREDES CIPRIANO BELCHIOR SILVA BARROS FERRO;8032-145
1229596;BRUNO MACEDO CUNHA MOTA;1965-244
1230502;BASILIO FONSECA PIRES ROCHA CARVALHEIRA ARANTES ANTUNES;1890-374
1231710;CARLOTA AMORIM MATEUS FERRAZ CARDOSO;2964-977
1232492;SORAIA BRITO PACHECO MORA LEAL ARANTES;4172-74
1233366;MARISA BAPTISTA MARTINS MATOS VIVAS;9538-174
1233935;ODETE BAPTISTA MORENO COELHO NUNES MOURA MENDES;5567-764
1237382;DAVID NUNES PROENCA ESTRELA MARTINS MOURÃO;1618-452
1240935;PAULA RAMALHO EANES VIVAS CIPRIANO PERES SEIXAS;19209-101
1242239;LUCAS BAPTISTA AZEVEDO LOPES CARRICO CASTANHEIRA;10687-440
1244149;CARLA MOTA AMORA CASTANHEIRA;5845-567
1245489;RICARDO CARDOSO AROUCA SOEIRO;14973-800
1245604;SORAIA SOEIRO QUEIROS CUNHA ROCHA;15700-194
1245954;CRISTIANA BAPTISTA PACHECO BELCHIOR;16314-445
1246180;LUIS NUNES BACELAR FARIAS CARRASCO SANTOS;13210-527
1247148;PAULA CABRAL CARRASCO CUNHA SOEIRO DINIS;3786-176
1248381;DANIEL BELCHIOR CALADO EANES BAPTISTA PINHEIRO;19522-300
1248666;CELINO MACEDO SEQUEIRA REGO REGO;19481-354
1249722;CRISTINA PINHEIRO BARROS SEQUEIRA CUNHA CASTRO;13948-85
1251129;RICARDO ANTUNES BRITO SOEIRO MORA;13347-753
1252088;CELSO PROENCA PIRES AZEVEDO;10944-191
1253982;LEONOR ROSADO AGUIAR PAREDES;2264-487
1254761;CARLA RAMALHO REGO REGO;2852-21
1260248;FRANCISCA PINTO MORENO NUNES NOGUEIRA;7386-86
1260719;BÓRIS BARBOSA REAL RAMALHO SANTOS MORA SOEIRO;1506-608
1262301;CARINA BRITO DINIS CARDOSO;15289-959
1263299;PAULO ANDRADE AZENHA MOURA;12828-198
1263560;DULCE ROCHA DOMINGOS ALMADA;3886-606
1264349;EDUARDA AMORA DIAS ESTRELA ARANTES MOREIRA PROENCA;7704-351
1265830;BERNARDO CARVALHEIRA ALMEIDA DINIS;3826-918
1268049;CELINO FERRO ALMADA ANTUNES CARNEIRO LOBATO;19105-123
1268314;EDUARDO PINHEIRO MOURÃO ALMEIDA CARVALHEIRA MACEDO VALBOM;14668-147
1270387;DULCINEIA ROSADO CLEMENTINO CANECO SOEIRO;13791-186
1271844;CELINO QUADROS AZENHA CARNEIRO BAPTISTA SEIXAS PINTO;14344-64
1273431;BERNARDO AZEREDO ANTUNES AROUCA AROUCA REGO DIAS;9558-99
1273539;CARMO CARRICO CUNHA CARRASCO;17768-393
1275345;DULCINEIA PERES ANDRADE AZEVEDO CIPRIANO PIRES BRITO;9845-457
1275562;BERNARDO VALBOM LOBATO ANTUNES FERREIRA;15109-326
1279537;PAULO AZEREDO SANTOS ROSADO;18433-938
1281164;JOANA PINTO PROENCA PAREDES MOTA;12832-233
1282042;CARINA ANDRADE AROUCA CABRAL CALHEIROS AGUIAR AMADO;16527-761
1283413;HUGO VIVAS RAMALHO LEÃO SOEIRO CARREIRA AMORIM;18295-219
1287564;CARLA CUNHA REGUEIRA CLEMENTINO;14250-598
1292209;VITOR CARRICO TINOCO QUEIROS;5232-894
1292347;CARLA CLEMENTINO ALMEIDA CASTANHEIRA FERREIRA BARROS COELHO;9596-652
1292840;ALZINDA MOURÃO CABRAL ANDRADE CARNEIRO FERRAZ;3469-100
1294708;ANA REGO SANTOS BELCHIOR PINHEIRO;12360-327
1294828;PEDRO CARNEIRO PIRES REAL;6261-903
1295634;FRANCISCO REGUEIRA DOMINGOS SILVA MOURÃO VALBOM ALMEIDA;14331-286
1296402;EDUARDA VIVAS REGO MOREIRA MOURÃO;9002-19
1297933;PAULO AMORIM BOGAS BELCHIOR MOURA;16810-818
1299262;DULCINEIA LEÃO LEAL SOEIRO BELCHIOR MENDES ROSADO;8210-236
1299824;DULCINEIA FERRAZ MATOS AMADO MATOS ARANTES;17602-480
1301206;MARIA ESTRELA SEIXAS SOEIRO SANTOS ALMADA ALMADA;14370-482
1306157;CARMO REGO ALMEIDA MOTA;17087-530
1310920;SORAIA CARRASCO SILVA TINOCO;4334-733
1317454;FRANCISCA QUADROS REGUEIRA CARNEIRO AROUCA CARREIRA;2409-751
1318379;FRANCISCA FARIAS ANDRADE ARANTES LOPES CARVALHEIRA;4141-593
1323643;SORAIA SEIXAS MATEUS SEQUEIRA MORENO;19807-397
1325053;PEDRO ROCHA CARDOSO EANES CIPRIANO PAREDES;10715-507
1326757;EDUARDO AMORIM ROSADO AMORA;14340-349
1329190;SORAIA COELHO BARBOSA MENDES MOREIRA;2370-650
1331527;ODETE AROUCA CARNEIRO COELHO REAL;3731-829
1336974;RODOLFO VIVAS CARMONA FERRAZ ANDRADE;13235-687
1337822;CLARICE MORA MOURÃO MOREIRA MORA DOMINGOS;17640-941
1338096;CARINA REGO CALADO CARRICO ROSADO;3211-598
1338348;CAMILO QUEIROS ALMEIDA SANTOS AMORIM PAREDES;6042-377
1342360;CARINA SOEIRO DINIS CALHEIROS PROENCA;5184-153
1343173;SILVIA SOEIRO PROENCA FONSECA BAPTISTA EANES COELHO;17113-58
1344673;LILIANA PAREDES VIVAS AMORA MOURA PIRES;9873-631
1347671;LUIS CARREIRA SEIXAS CARRICO MARTINS PINHEIRO;1429-501
1351229;LUCAS DIAS REGO CANECO;15713-142
1351232;BRUNO CLEMENTINO DIAS AMADO PACHECO;2314-515
1353420;HUGO PACHECO BOGAS RAMALHO PAREDES COELHO;10798-494
1353822;EDUARDA REGO MOREIRA TINOCO MOURÃO CARRICO ANTUNES;14881-13
1354167;FRANCISCO CARMONA AZEVEDO REGO FERREIRA ANTUNES;18484-56
1359117;BÓRIS FERREIRA ARANTES FERRAZ;1478-13
1361790;PEDRO SANTOS ALMEIDA VALBOM AZEREDO;11246-312
1363298;RICARDO LOBATO BACELAR SOEIRO MATEUS CARMONA CABRAL;14256-627
1363598;DORA BRITO BOGAS FERRAZ ANTUNES CLEMENTINO;3709-858
1366245;RITA BRITO SANTOS LEAL QUEIROS ALMADA AGUIAR;13812-919
1366368;LUCAS QUEIROS SANTOS CARDOSO AMORA;18356-538
1366724;DOLORES MOURÃO NOGUEIRA PAREDES ARANTES;17825-656
1368541;CELINO BARROS MORA MATOS MATEUS PAREDES AZEVEDO;2110-255
1368750;EDUARDA FARIAS FERRAZ CALADO SANTOS;17913-894
1369492;SORAIA MOTA MACEDO CARRICO FARIAS;8802-350
1369744;PAULA MATEUS LOBATO BARROS NASCIMENTO;5392-616
1369871;ANA SOEIRO FERRAZ CASTRO MORA;18959-832
1372924;MARISA AROUCA PAREDES ESTRELA;2581-503
1374224;EDUARDO PAREDES CARVALHEIRA REAL PROENCA;7785-492
1374844;CARLOTA LOPES ROSADO ALMEIDA SEIXAS ANDRADE AROUCA;16447-282
1376831;CELSO AMADO AMORA NUNES BRITO;5905-218
1379484;CATARINA DINIS CARRASCO CARNEIRO AROUCA LEAL BELCHIOR;7866-488
1379957;CLAUDIO BAPTISTA AMORIM ANDRADE FERRAZ ANDRADE MOREIRA;19491-290
1381123;DINA AZENHA MORENO LOPES;17276-763
1382465;BRUNA QUEIROS REGUEIRA FERRAZ BELCHIOR;10803-106
1382624;CELSO BACELAR CARREIRA VIVAS QUEIROS LOBATO SOEIRO;10760-525
1383036;ODETE MATEUS AZEREDO FARIAS VIVAS;19986-904
1385904;CARLA REAL BRITO BRITO;5877-994
1386244;BASILIO ANTUNES LOPES AZEREDO FARIAS;9133-352
1387809;LEONOR AZENHA PAREDES FERRO DOMINGOS CALHEIROS AMORA;11252-20
1388956;JOANA MOTA ALMEIDA BOGAS DIAS TINOCO BELCHIOR;16702-325
1390342;CARLOTA ALMADA EANES CANECO FERREIRA AGUIAR;5519-554
1390669;LEONOR CASTRO ESTRELA TINOCO AMORIM TINOCO LEAL;3310-452
1394743;BASILIO MATOS AMORIM PIRES LOPES ALMADA COELHO;4120-517
1394958;LEONOR CARDOSO COELHO FERRAZ;16441-358
1394963;CATARINA REGO CASTRO VIVAS;7404-901
1395502;BERNARDO AMORA ROCHA NASCIMENTO CUNHA;5629-271
1395849;EDUARDO ROSADO CARVALHEIRA CARNEIRO CABRAL ANDRADE;19747-314
1395995;FRANCISCO REGO FARIAS NUNES;16105-326
1399922;DORA BACELAR AMORIM CALADO LEAL QUADROS REGUEIRA;1095-289
1400662;DULCE AZEREDO MOTA BOGAS LOBATO MOTA;1966-890
1400971;EDUARDA ALMADA SANTOS FONSECA;8215-378
1400999;CLAUDIO VALBOM SEIXAS AZENHA BARBOSA CARVALHEIRA;2928-120
1401297;HUGO SEQUEIRA TINOCO CARMONA;8909-948
1401764;MARIA ROSADO MORA PAREDES SOEIRO MOREIRA CABRAL;15435-469
1403600;DOLORES SOEIRO AGUIAR AZEVEDO TINOCO FARIAS PERES;14825-647
1404877;DORA DOMINGOS AMORIM SEQUEIRA ANTUNES;1251-19
1405815;PAULO CARVALHEIRA BARBOSA REAL CALHEIROS;5663-642
1407630;CELSO CARDOSO CARDOSO ARANTES;14891-759
1411503;DULCE MATEUS ANDRADE RAMALHO CALHEIROS;8543-426
1412318;CAMILO CALADO MOREIRA CARMONA AMORIM;18640-461
1413325;MARIA REGUEIRA EANES MACEDO;19756-296
1414173;ODETE VALBOM AMORIM DIAS CARVALHEIRA MACEDO;19054-989
1414562;VALDEMAR MACEDO BARBOSA ROCHA CIPRIANO VIVAS;11248-781
1414648;BRUNA BARBOSA EANES REGUEIRA QUEIROS;18421-935
1414657;JOANA LEÃO SANTOS SOEIRO SEIXAS REGO;16063-281
1415125;FRANCISCA MORENO PIRES AMORIM MOURA;9106-249
1416133;DOLORES BARROS CARRICO BARROS;14514-9
1416274;CARLOTA LEÃO AMORIM CAIADO;3953-55
1416901;CARMO BOGAS ARANTES ALMEIDA MENDES SANTOS;11075-874
1417402;BASILIO PAREDES FONSECA QUADROS;14677-637
1417894;SORAIA SEQUEIRA PAREDES MOREIRA NUNES VALBOM FERREIRA;3609-370
1418579;CRISTIANO MOURÃO PERES VALBOM DIAS MOREIRA PINHEIRO;2536-43
1419003;CLAUDIO ANTUNES BAPTISTA PROENCA;14296-994
1423821;EDUARDO ROSADO MARTINS BRITO;12547-405
1426761;CARLOTA FERRO BOGAS ALMEIDA MARTINS CASTRO;4485-510
1426768;BRUNA SANTOS AMORIM LOPES BELCHIOR RAMALHO MACEDO;9850-426
1429147;BRUNA REGUEIRA SANTOS CASTRO;7691-539
1431429;DULCINEIA PAREDES VALBOM CALADO MOURA;17202-763
1431493;ODETE DOMINGOS ANTUNES AZENHA MARTINS ANTUNES FONSECA;11345-452
1435148;EDUARDA CIPRIANO PAREDES BARROS QUADROS;12519-969
1435607;BASILIO MENDES CIPRIANO QUEIROS AZENHA;17570-665
1444122;CRISTINA BRITO REGUEIRA SEQUEIRA BAPTISTA;6189-226
1445050;DANIEL PINHEIRO CALADO PINHEIRO AZENHA RAMALHO;8591-574
1447328;CRISTINA PERES MENDES DIAS SILVA REGO;4492-997
1454027;CELINO FARIAS COELHO PIRES MOURA;2582-592
1454725;SORAIA BARBOSA AGUIAR SEQUEIRA ARANTES;15996-190
1456022;VITOR CARRASCO DIAS BRITO MOREIRA;9777-428
1456959;CARLOTA LEAL ALMADA PAREDES;13434-172
1458083;DULCINEIA MOURA BACELAR BARROS ARANTES BRITO;14518-485
1460021;LILIANA LOPES CARNEIRO BAPTISTA CARREIRA;10712-442
1462459;CARMO PROENCA MARTINS CARDOSO SILVA;8854-837
1463148;VITOR MOURÃO LOPES CALHEIROS AMORIM BARBOSA CARRICO;7946-47
1466721;CARLA FONSECA MOREIRA FERRAZ;4506-269
1467726;CELSO CASTRO MATEUS AZEREDO VALBOM NASCIMENTO BACELAR;3262-596
1468252;PAULO LEAL REAL PERES;16543-172
1468615;CLAUDIO PACHECO AMORIM MOREIRA LEAL CIPRIANO;16532-142
1469455;CATARINA AMORA CLEMENTINO SANTOS;12484-181
1472292;BRUNO REGUEIRA CIPRIANO CUNHA BACELAR MORA ROCHA;13526-1
1472580;CARMO MORA VALBOM FERREIRA;18199-853
1474308;BRUNA ANTUNES ANDRADE VALBOM MATEUS SOEIRO FERREIRA;11072-570
1475511;CARINA LOPES SOEIRO CARNEIRO;6720-631
1475690;DUARTE PAREDES FERREIRA BACELAR CALADO MORA;9478-414
1478552;MARIA BARROS AZEVEDO LEÃO COELHO;6101-12
1479502;RICARDO CARRASCO MENDES FERREIRA;13623-783
1481227;CATARINA VALBOM CARMONA CARNEIRO CIPRIANO CASTANHEIRA BOGAS;11327-349
1481505;FRANCISCA ALMEIDA MENDES PINTO REGUEIRA CALADO CALHEIROS;10118-541
1481725;DOLORES PAREDES LEÃO CARDOSO BARBOSA;13552-175
1482501;MARISA AZENHA FONSECA CARMONA;3375-437
1485285;ODETE LEAL CALHEIROS EANES CASTRO;2693-378
1486883;DUARTE CARDOSO VIVAS SILVA;18313-706
1487773;SORAIA CASTRO CARNEIRO FERREIRA VALBOM;16654-880
1487884;DAVID MORENO AZEREDO MOREIRA;2594-354
1488253;EDUARDO COELHO NUNES NOGUEIRA AZENHA CIPRIANO NOGUEIRA;18273-894
1488506;VITOR VIVAS ANTUNES CASTANHEIRA;17957-844
1491538;SORAIA CAIADO DINIS PIRES CASTANHEIRA CIPRIANO;5901-221
1492888;CRISTIANA CARMONA SOEIRO QUADROS;2539-155
1494489;ANA BRITO MOURA FERREIRA AZENHA CUNHA;7276-436
1495202;VITOR ANDRADE ANTUNES CIPRIANO ARANTES;4880-705
1497367;MARIA FARIAS COELHO MATOS PINHEIRO AZENHA CIPRIANO;4325-554
1500382;PEDRO PINTO REGO SEQUEIRA CIPRIANO;19882-778
1502076;DULCINEIA QUADROS CALHEIROS LOBATO;2308-36
1505188;LUIS CASTANHEIRA CALHEIROS LOBATO REGUEIRA;4990-857
1506802;PAULA ALMADA SEQUEIRA MATEUS SOEIRO;18226-320
1507502;EDUARDO COELHO DOMINGOS RAMALHO DINIS REGUEIRA LEÃO;1855-266
1508393;CATARINA MOURÃO DIAS NOGUEIRA CASTRO BRITO FARIAS;16085-707
1512346;LUIS PINTO PAREDES LEAL PIRES CARREIRA;19835-328
1515144;CRISTIANA NUNES ROCHA MOREIRA;18693-367
1516753;CLAUDIO CARRICO ANDRADE MATOS BRITO CALADO;3960-447
1519477;MARIA PINHEIRO RAMALHO BACELAR CASTRO MACEDO;1111-516
1519903;RITA CARMONA CARREIRA CALHEIROS MARTINS;10974-981
1520475;CARLA AZEREDO AZEVEDO EANES FERRAZ ARANTES;6088-264
1522145;DINA BOGAS BARBOSA FARIAS AMORA;6726-123
1522888;CELINO ROSADO AZEREDO RAMALHO FARIAS;6657-541
1523175;FRANCISCO ALMADA SILVA SEIXAS FONSECA MATEUS REGO;10052-680
1523376;LILIANA AMORIM MORA BELCHIOR ANTUNES AROUCA;6928-52
1524108;DOLORES PACHECO PINTO MORA CARRICO REAL;4960-664
1526432;CARLA CASTANHEIRA REAL AMORIM;19594-704
1528960;ANA EANES BELCHIOR CARRASCO;19471-285
1529353;SORAIA BELCHIOR CARRICO MORENO AMORA ROSADO;18507-379
1530473;CARLA BARROS ROCHA REAL RAMALHO BACELAR AMADO;14476-73
1530583;CAMILO CABRAL TINOCO AMORIM CABRAL FARIAS;16324-104
1532141;PEDRO BRITO RAMALHO CANECO PACHECO;11290-157
1533591;VITOR BELCHIOR CARRASCO BRITO QUADROS CARRICO ANDRADE;9316-516
1535193;BÓRIS REGO ROCHA BARROS;7197-598
1535622;DAVID REGUEIRA ALMEIDA SEQUEIRA MOURA AMADO ROCHA;15350-206
1536224;LILIANA PIRES CALHEIROS SILVA;16577-936
1537259;MARISA NASCIMENTO PAREDES ROSADO;17459-395
1540054;BRUNA BAPTISTA BOGAS ROCHA CABRAL AGUIAR;9159-445
1540919;BASILIO FERREIRA NASCIMENTO REAL REGO;11513-425
1546072;DORA TINOCO BRITO AZEREDO;16017-609
1546717;SILVIA REGO LEÃO REGO VIVAS DIAS;19610-125
1548071;FRANCISCA DINIS LOPES ROSADO CARRICO CARRICO BARBOSA;2164-622
1548535;CLAUDIO LEAL DINIS MORENO AZENHA PACHECO;11853-293
1548834;VALDEMAR SEIXAS MATEUS BOGAS QUADROS BELCHIOR ROCHA;18344-987
